file,dcom,loc,0.2<dcom,0.2<%dcom,loc<200,%loc<200
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardPieToolTipGenerator.java,0.7131783,37,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYItemLabelGenerator.java,0.6647399,58,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYSeriesLabelGenerator.java,0.615894,58,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYToolTipGenerator.java,0.66091955,59,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/StandardXYZToolTipGenerator.java,0.5281385,109,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/SymbolicXYItemLabelGenerator.java,0.55128205,70,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYItemLabelGenerator.java,0.9074074,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYSeriesLabelGenerator.java,0.9122807,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYToolTipGenerator.java,0.9056604,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/labels/XYZToolTipGenerator.java,0.9056604,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendGraphic.java,0.51098096,334,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItem.java,0.5584944,434,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItemBlockContainer.java,0.59411764,69,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItemCollection.java,0.6056338,56,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendItemSource.java,0.9,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendRenderingOrder.java,0.8888889,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/legend/LegendTitle.java,0.4376013,347,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/legend/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/legend/PaintScaleLegend.java,0.40785497,392,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CategoryCrosshairState.java,0.5923567,64,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CategoryMarker.java,0.6034483,69,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CategoryPlot.java,0.46606234,2415,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CenterTextMode.java,0.87234044,6,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedDomainCategoryPlot.java,0.41598696,358,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedDomainXYPlot.java,0.42691752,396,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,0.4038835,307,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CombinedRangeXYPlot.java,0.42569658,371,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/ArrowNeedle.java,0.5,78,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/CompassPlot.java,0.43556702,438,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/LineNeedle.java,0.6272727,41,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/LongNeedle.java,0.45962733,87,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/MeterNeedle.java,0.5265958,178,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/MiddlePinNeedle.java,0.5378788,61,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/package-info.java,0.75,1,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/PinNeedle.java,0.54615384,59,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/PlumNeedle.java,0.575,51,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/PointerNeedle.java,0.5,70,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/ShipNeedle.java,0.5882353,49,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/compass/WindNeedle.java,0.58715594,45,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/Crosshair.java,0.5578635,298,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/CrosshairState.java,0.66358024,109,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/DatasetRenderingOrder.java,0.9166667,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/DefaultDrawingSupplier.java,0.4038877,276,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/AbstractDialLayer.java,0.6165803,74,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/ArcDialFrame.java,0.5117773,228,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialBackground.java,0.58677685,100,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialCap.java,0.5704918,131,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialFrame.java,0.88135594,7,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialLayer.java,0.8627451,14,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialLayerChangeEvent.java,0.8064516,12,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialLayerChangeListener.java,0.9019608,5,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialPlot.java,0.50398934,373,1,,0,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialPointer.java,0.5035587,279,1,,1,
\jfreechart-master\src/main/java/org/jfree/chart/plot/dial/DialScale.java,0.9206349,5,1,,1,
