file,dcom,lcom
\jfreechart-master\src/main/java/org/jfree/chart/Drawable.java,0.8604651,6
\jfreechart-master\src/main/java/org/jfree/chart/encoders/EncoderUtil.java,0.7022472,53
\jfreechart-master\src/main/java/org/jfree/chart/encoders/ImageEncoder.java,0.86315787,13
\jfreechart-master\src/main/java/org/jfree/chart/encoders/ImageEncoderFactory.java,0.6363636,52
\jfreechart-master\src/main/java/org/jfree/chart/encoders/ImageFormat.java,0.88461536,6
\jfreechart-master\src/main/java/org/jfree/chart/encoders/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,0.6217949,59
\jfreechart-master\src/main/java/org/jfree/chart/encoders/SunPNGEncoderAdapter.java,0.6923077,36
\jfreechart-master\src/main/java/org/jfree/chart/entity/AxisEntity.java,0.58638746,79
\jfreechart-master\src/main/java/org/jfree/chart/entity/CategoryItemEntity.java,0.62857145,65
\jfreechart-master\src/main/java/org/jfree/chart/entity/CategoryLabelEntity.java,0.61538464,45
\jfreechart-master\src/main/java/org/jfree/chart/entity/ChartEntity.java,0.51212937,181
\jfreechart-master\src/main/java/org/jfree/chart/entity/EntityCollection.java,0.86315787,13
\jfreechart-master\src/main/java/org/jfree/chart/entity/FlowEntity.java,0.63461536,38
\jfreechart-master\src/main/java/org/jfree/chart/entity/JFreeChartEntity.java,0.5842105,79
\jfreechart-master\src/main/java/org/jfree/chart/entity/LegendItemEntity.java,0.6363636,56
\jfreechart-master\src/main/java/org/jfree/chart/entity/NodeEntity.java,0.7386364,23
\jfreechart-master\src/main/java/org/jfree/chart/entity/package-info.java,0.75,1
